# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	7086
#@/user_id	76c8a36a-966b-414b-94e3-75dde62f30cd
ge ge guo jia you ge ge guo jia de guo ge 	各个国家有各个国家的国歌	c=2 d=0.00163682 t=7086
ge le 	隔了	c=1 d=0.0784731 t=7086
ge ren 	个人	c=2 d=0.317629 t=7086
ge shi 	格式	c=5 d=0.499074 t=7086
gei 	给	c=9 d=5.78733e-06 t=7086
gei ni 	给你	c=7 d=0.0536053 t=7086
gei wo 	给我	c=22 d=1.55853 t=7086
gen ju 	根据	c=1 d=0.0132336 t=7086
geng duo 	更多	c=0 d=1.79621e-09 t=7086
geng gai 	更改	c=1 d=0.000116223 t=7086
geng hao 	更好	c=4 d=0.00661226 t=7086
geng hao yong 	更好用	c=1 d=1.15683e-08 t=7086
geng huan 	更换	c=2 d=8.86012e-08 t=7086
geng jia 	更加	c=2 d=0.941765 t=7086
geng rong yi 	更容易	c=1 d=0.084163 t=7086
geng xin 	更新	c=14 d=1.30225 t=7086
geng xin shi yong 	更新使用	c=1 d=0.414783 t=7086
gong deng 	宫灯	c=2 d=2.42499e-08 t=7086
gong gao 	公告	c=3 d=1.74915 t=7086
gong ju 	工具	c=1 d=3.04428e-09 t=7086
gong neng 	功能	c=14 d=1.79629 t=7086
gong shang 	工商	c=1 d=1.17108e-05 t=7086
gong xi 	恭喜	c=1 d=4.30816e-06 t=7086
gong ying lian 	供应链	c=2 d=0.00692042 t=7086
gong ying shang 	供应商	c=1 d=0.224248 t=7086
gong yong 	公用	c=1 d=0.806541 t=7086
gong zuo 	工作	c=1 d=0.927743 t=7086
gong zuo shi 	工作室	c=1 d=0.000347412 t=7086
gou 	购	c=1 d=0.873716 t=7086
gu ding 	固定	c=1 d=1.58488e-06 t=7086
gu ji 	估计	c=7 d=0.151987 t=7086
gu ji yi hui 	估计一会	c=1 d=0.031273 t=7086
gu ran 	固然	c=1 d=0.414783 t=7086
gua ban 	刮板	c=1 d=0.00019258 t=7086
guan 	关	c=2 d=0.932394 t=7086
guan bi 	关闭	c=4 d=0.758388 t=7086
guan jian 	关键	c=1 d=7.3041e-11 t=7086
guan li 	管理	c=10 d=1.65932 t=7086
guan li mian 	管理面	c=1 d=0.0081887 t=7086
guan li yuan 	管理员	c=1 d=0.865022 t=7086
guan lian 	关联	c=1 d=7.54217e-06 t=7086
guan xi 	关系	c=3 d=0.0982736 t=7086
guan yu 	关于	c=1 d=0.00680566 t=7086
guan zhu 	关注	c=3 d=0.00445005 t=7086
guang ba 	光把	c=2 d=0.000944976 t=7086
guang biao 	光标	c=1 d=5.82947e-05 t=7086
guang chang 	广场	c=1 d=3.41588e-11 t=7086
gui bu gui fan 	规不规范	c=1 d=1.86469e-07 t=7086
gui ze 	规则	c=8 d=3.16553e-09 t=7086
gui zhou 	贵州	c=1 d=0.937068 t=7086
gun dong 	滚动	c=1 d=0.287941 t=7086
guo 	过	c=1 d=1.92148e-07 t=7086
guo 	郭	c=1 d=3.08977e-07 t=7086
guo duo 	过多	c=1 d=1.29759e-06 t=7086
guo ji 	国际	c=1 d=0.00995182 t=7086
guo lai 	过来	c=4 d=0.294098 t=7086
guo min 	过敏	c=2 d=0.0948935 t=7086
guo min xing 	过敏性	c=1 d=1.14551e-10 t=7086
guo qi 	过期	c=2 d=0.571595 t=7086
guo qu 	过去	c=1 d=0.0746459 t=7086
guo wai 	国外	c=1 d=6.70662e-07 t=7086
guo wen 	过问	c=1 d=3.10525e-07 t=7086
guo wen 	郭文	c=1 d=3.12082e-07 t=7086
guo xin 	国信	c=0 d=5.68747e-10 t=7086
ha 	哈	c=2 d=1.61474e-05 t=7086
ha ha 	哈哈	c=1 d=1.77834e-08 t=7086
